Number,Type,Date_original,Date_number,Date,Name,Sex,Sex2,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured,
239,Motive Confirmed,"January 10, 2013",2013,"January 10, 2013",Imran Shaikh,Male,Male,Pakistan,Samaa TV,Pakistan,Television,Camera Operator,"Crime, Human Rights, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
240,Motive Confirmed,"January 10, 2013",2013,"January  4, 2013",Suhail Mahmoud al-Ali,Male,Male,Syria,Dunya TV,Syria,Television,"Broadcast, Editor",War,No,Local,Political Group,Murder,Yes,,,"
",
241,Motive Confirmed,"January 10, 2013",2013,"December 23, 2012",Dwijamani Singh,Male,Male,India,Prime News,India,Television,"Broadcast, Camera Operator",Politics,No,Local,Government Officials,Dangerous Assignment,,No,No,"No
",
242,Motive Confirmed,"January  4, 2013",2013,"December 21, 2012",Abd al-Karim al-Ezzo,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
243,Motive Confirmed,"December 23, 2012",2012,"December 12, 2012",Al-Hosseiny Abou Deif,Male,Male,Egypt,El-Fagr,Egypt,"Print, Internet","Internet Reporter, Print Reporter","Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
244,Motive Confirmed,"December 21, 2012",2012,"December  5, 2012",Kazbek Gekkiyev,Male,Male,Russia,VGTRK,Russia,Television,Broadcast,Culture,No,Local,Political Group,Murder,Yes,No,Yes,"No
",
245,Motive Confirmed,"December 12, 2012",2012,"December  4, 2012",Naji Asaad,Male,Male,Syria,Tishreen,Syria,Print,Editor,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",
246,Motive Confirmed,"December  5, 2012",2012,"November 28, 2012",Mohamed Quratem,Male,Male,Syria,Enab Baladi,Syria,Print,Print Reporter,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
247,Motive Confirmed,"December  4, 2012",2012,"November 27, 2012",Guillermo Quiroz Delgado,Male,Male,Colombia,Freelance,Colombia,"Print, Television","Broadcast, Print Reporter",Politics,Yes,Local,Government Officials,Dangerous Assignment,,,,"
",
248,Motive Confirmed,"November 28, 2012",2012,"November 25, 2012",Mohamed al-Khal,Male,Male,Syria,Freelance,Syria,"Television, Internet",Camera Operator,"Human Rights, Politics, War",Yes,Local,Government Officials,Crossfire/Combat-Related,,No,No,"No
",
249,Motive Confirmed,"November 27, 2012",2012,"November 22, 2012",Saqib Khan,Male,Male,Pakistan,Ummat,Pakistan,"Print, Internet",Photographer,"Business, Corruption",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
250,Motive Confirmed,"November 25, 2012",2012,"November 21, 2012",Basel Tawfiq Youssef,Male,Male,Syria,Syrian State TV,Syria,Television,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,Yes,"No
",
251,Motive Confirmed,"November 22, 2012",2012,"November 21, 2012",Eduardo Carvalho,Male,Male,Brazil,Última Hora News,Brazil,Internet,Publisher,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
252,Motive Confirmed,"November 21, 2012",2012,"November 20, 2012",Hussam Salama,Male,Male,Israel and the Occupied Palestinian Territory,Al-Aqsa,Palestinian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
253,Motive Confirmed,"November 21, 2012",2012,"November 20, 2012",Mahmoud al-Kumi,Male,Male,Israel and the Occupied Palestinian Territory,Al-Aqsa,Palestinian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
254,Motive Confirmed,"November 20, 2012",2012,"November 19, 2012",Hozan Abdel Halim Mahmoud,Male,Male,Syria,Freelance,Syria,Internet,"Camera Operator, Internet Reporter",War,Yes,Local,Paramilitary Group,Crossfire/Combat-Related,,,,"
",
255,Motive Confirmed,"November 20, 2012",2012,"November 18, 2012",Rehmatullah Abid,Male,Male,Pakistan,"Dunya News TV, Intikhaab",Pakistan,"Print, Television","Broadcast, Camera Operator, Print Reporter","Business, Corruption, Crime, Human Rights, Politics, War",No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
256,Motive Confirmed,"November 19, 2012",2012,"November 14, 2012",Adrián Silva Moreno,Male,Male,Mexico,Freelance,Mexico,Print,Print Reporter,Crime,Yes,Local,Criminal Group,Dangerous Assignment,,No,No,"No
",
257,Motive Confirmed,"November 18, 2012",2012,"November  9, 2012",Ayham Mostafa Ghazzoul,Male,Male,Syria,Syrian Center for Media and Freedom of Expression,Syria,Internet,Broadcast,"Human Rights, War",No,Local,Political Group,Dangerous Assignment,,,,"
",
258,Motive Confirmed,"November 14, 2012",2012,"November  3, 2012",Sattar Beheshti,Male,Male,Iran,Freelance,Iran,Internet,Internet Reporter,"Corruption, Human Rights, Politics",Yes,Local,Government Officials,Dangerous Assignment,,Yes,Yes,"Yes
",
259,Motive Confirmed,"November  9, 2012",2012,"October 28, 2012",Mohamed Mohamud Turyare,Male,Male,Somalia,Shabelle Media Network,Somali,"Radio, Internet","Broadcast, Editor","Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
260,Motive Confirmed,"November  3, 2012",2012,"October 23, 2012",Ahmed Farah Ilyas,Male,Male,Somalia,Universal TV,Somali,Television,Broadcast,"Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
261,Motive Confirmed,"October 28, 2012",2012,"October 10, 2012",Mohammed al-Ashram,Male,Male,Syria,Al-Ikhbariya,Syria,Television,Camera Operator,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
262,Motive Confirmed,"October 23, 2012",2012,"October  7, 2012",Mushtaq Khand,Male,Male,Pakistan,Dharti Television Network and Mehran,Pakistan,"Print, Television","Broadcast, Print Reporter","Crime, Politics, War",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
263,Motive Confirmed,"October 10, 2012",2012,"October  3, 2012",Mona al-Bakkour,Female,Female,Syria,Al-Thawra and Syria al-Qalaa,Syria,"Print, Internet","Editor, Print Reporter","Politics, War",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
264,Motive Confirmed,"October  7, 2012",2012,"September 29, 2012",Abdul Haq Baloch,Male,Male,Pakistan,ARY Television,Pakistan,Television,Broadcast,"Crime, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
265,Motive Confirmed,"October  3, 2012",2012,"September 26, 2012",Maya Naser,Male,Male,Syria,Press TV,Syria,Television,Broadcast,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
266,Motive Confirmed,"September 29, 2012",2012,"September 21, 2012",Hassan Yusuf Absuge,Male,Male,Somalia,Radio Maanta,Somalia,Radio,"Broadcast, Producer","Crime, Culture, Politics",No,Local,Political Group,Murder,Partial,No,No,"No
",
267,Motive Confirmed,"September 26, 2012",2012,"September 20, 2012",Liban Ali Nur,Male,Male,Somalia,Somali National TV,Somalia,Television,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
",
268,Motive Confirmed,"September 21, 2012",2012,"September 20, 2012",Abdisatar Daher Sabriye,Male,Male,Somalia,Radio Mogadishu,Somalia,Radio,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
",
269,Motive Confirmed,"September 20, 2012",2012,"September 20, 2012",Abdirahman Yasin Ali,Male,Male,Somalia,Radio Hamar,Somalia,Radio,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
",
270,Motive Confirmed,"September 20, 2012",2012,"September 19, 2012",Abdel Karim al-Oqda,Male,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Murder,Yes,No,No,"No
",
271,Motive Confirmed,"September 20, 2012",2012,"September 16, 2012",Yusuf Ahmed Deeb,Male,Male,Syria,Liwaa Al-Fatih,Syria,Print,Editor,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
272,Motive Confirmed,"September 19, 2012",2012,"September 11, 2012",Hang Serei Odom,Male,Male,Cambodia,Virakchun Khmer Daily,Cambodia,Print,Print Reporter,"Business, Corruption, Crime, Politics",No,Local,"Criminal Group, Military Officials",Murder,Yes,Yes,No,"No
",
273,Motive Confirmed,"September 16, 2012",2012,"September  9, 2012",Tamer al-Awam,Male,Male,Syria,Freelance,Syrian,Television,Camera Operator,"Human Rights, Politics, War",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
274,Motive Confirmed,"September 11, 2012",2012,"September  2, 2012",Daudi Mwangosi,Male,Male,Tanzania,Channel Ten,Tanzania,Television,Broadcast,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
",
275,Motive Confirmed,"September  9, 2012",2012,"August 22, 2012",Mosaab al-Obdaallah,Male,Male,Syria,Tishreen,Syria,"Print, Internet","Internet Reporter, Print Reporter","Culture, Politics, Sports, War",Yes,Local,Government Officials,Murder,Yes,No,No,"No
",
276,Motive Confirmed,"September  2, 2012",2012,"August 20, 2012",Mika Yamamoto,Female,Female,Syria,Japan Press,Japan,"Television, Internet","Camera Operator, Photographer",War,No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
",
277,Motive Confirmed,"August 22, 2012",2012,"August 11, 2012",Ali Abbas,Male,Male,Syria,SANA,Syria,"Television, Internet",Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
278,Motive Confirmed,"August 20, 2012",2012,"August 10, 2012",Hatem Abu Yehia,Male,Male,Syria,Al-Ikhbariya,Syria,Television,Camera Operator,"Politics, War",No,Local,Unknown Fire,Unknown,,Yes,No,"No
",
279,Motive Confirmed,"August 11, 2012",2012,"July 12, 2012",Ihsan al-Buni,Male,Male,Syria,Al-Thawra,Syria,"Print, Internet",Photographer,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
280,Motive Confirmed,"August 10, 2012",2012,"July  5, 2012",Valério Luiz de Oliveira,Male,Male,Brazil,Radio Jornal,Brazil,Radio,Columnist,Sports,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
281,Motive Confirmed,"July 12, 2012",2012,"July  1, 2012",Byron Baldeón,Male,Male,Ecuador,Freelance,Ecuador,Print,Photographer,Crime,Yes,Local,Unknown Fire,Murder,Yes,No,,"No
",
282,Motive Confirmed,"July  5, 2012",2012,"June 27, 2012",Mohammad Shamma,Male,Male,Syria,Al-Ikhbariya,Syria,Television,Technician,Politics,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
283,Motive Confirmed,"July  1, 2012",2012,"June 27, 2012",Sami Abu Amin,Male,Male,Syria,Al-Ikhbariya,Syria,Television,Broadcast,Politics,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
284,Motive Confirmed,"June 27, 2012",2012,"June 15, 2012",Jamal Uddin,Male,Male,Bangladesh,Gramer Kagoj,Bangladesh,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
285,Motive Confirmed,"June 27, 2012",2012,"May 28, 2012",Abdul Qadir Hajizai,Male,Male,Pakistan,WASH TV,Pakistan,Television,Broadcast,"Politics, War",Yes,Local,Political Group,Murder,Yes,No,No,"No
",
286,Motive Confirmed,"June 15, 2012",2012,"May 28, 2012",Ahmed al-Assam,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
287,Motive Confirmed,"May 28, 2012",2012,"May 28, 2012",Bassel al-Shahade,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
288,Motive Confirmed,"May 28, 2012",2012,"May 27, 2012",Ahmed Adnan al-Ashlaq,Male,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
289,Motive Confirmed,"May 28, 2012",2012,"May 27, 2012",Lawrence Fahmy al-Naimi,Male,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
290,Motive Confirmed,"May 27, 2012",2012,"May 27, 2012",Ammar Mohamed Suhail Zado,Male,Male,Syria,Shaam News Network,Syria,Internet,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
291,Motive Confirmed,"May 27, 2012",2012,"May 24, 2012",Ahmed Addow Anshur,Male,Male,Somalia,Shabelle Media Network,Somalia,Radio,"Broadcast, Columnist, Producer",Politics,No,Local,Political Group,Murder,Yes,No,No,"No
",
292,Motive Confirmed,"May 27, 2012",2012,"May 19, 2012",Razzaq Gul,Male,Male,Pakistan,Express News TV,Pakistan,Television,Broadcast,"Politics, War",No,Local,Unknown Fire,Murder,Yes,Yes,No,"Yes
",
293,Motive Confirmed,"May 24, 2012",2012,"May  2, 2012",Farhan Jeemis Abdulle,Male,Male,Somalia,Radio Daljir and Simba Radio,Somalia,Radio,"Broadcast, Columnist, Producer","Culture, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
294,Motive Confirmed,"May 19, 2012",2012,"April 28, 2012",Regina Martínez Pérez,Male,Male,Mexico,Proceso,Mexico,Print,Print Reporter,"Crime, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
295,Motive Confirmed,"May  2, 2012",2012,"April 23, 2012",Décio Sá,Male,Male,Brazil,O Estado do Maranhão and Blog do Décio,Brazil,"Print, Internet","Internet Reporter, Print Reporter","Corruption, Politics",No,Local,Criminal Group,Murder,Partial,No,Yes,"No
",
296,Motive Confirmed,"April 28, 2012",2012,"April  9, 2012",Ali Shaaban,Male,Male,Lebanon,Al-Jadeed,Lebanon,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
297,Motive Confirmed,"April 23, 2012",2012,"April  8, 2012",Leiron Kogoya,Male,Male,Indonesia,Papua Pos Nabire and Pasifik Pos Dail,Indonesia,"Print, Internet",Print Reporter,"Culture, Human Rights, Politics",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
298,Motive Confirmed,"April  9, 2012",2012,"April  5, 2012",Mahad Salad Adan,Male,Male,Somalia,Shabelle Media Network,Somalia,"Radio, Internet",Broadcast,Politics,Yes,Local,Political Group,Murder,Yes,,,"
",
299,Motive Confirmed,"April  8, 2012",2012,"March 31, 2012",Ahmed Ismail Hassan,Male,Male,Bahrain,Freelance,Bahrain,Internet,Camera Operator,"Human Rights, Politics",Yes,Local,Paramilitary Group,Dangerous Assignment,,,No,"
",
300,Motive Confirmed,"April  5, 2012",2012,"March  4, 2012",Ali Ahmed Abdi,Male,Male,Somalia,Freelance,Somali,"Radio, Internet","Broadcast, Columnist, Internet Reporter","Human Rights, Politics, War",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",
301,Motive Confirmed,"March 31, 2012",2012,"March  1, 2012",Rajesh Mishra,Male,Male,India,Media Raj,Indian,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
302,Motive Confirmed,"March  4, 2012",2012,"February 28, 2012",Abukar Hassan Mohamoud,Male,Male,Somalia,Somaliweyn Radio,Somali,Radio,Editor,"Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
",
303,Motive Confirmed,"March  1, 2012",2012,"February 24, 2012",Anas al-Tarsha,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
304,Motive Confirmed,"February 28, 2012",2012,"February 22, 2012",Rémi Ochlik,Male,Male,Syria,Freelance,France,Print,Photographer,"Human Rights, War",Yes,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
",
305,Motive Confirmed,"February 24, 2012",2012,"February 22, 2012",Marie Colvin,Female,Female,Syria,The Sunday Times,American,Print,Print Reporter,"Human Rights, War",No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
",
306,Motive Confirmed,"February 22, 2012",2012,"February 21, 2012",Rami al-Sayed,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
307,Motive Confirmed,"February 22, 2012",2012,"February  9, 2012",Mario Randolfo Marques Lopes,Male,Male,Brazil,Vassouras na Net,Brazil,Internet,Internet Reporter,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,Yes,Yes,"No
",
308,Motive Confirmed,"February 21, 2012",2012,"February  4, 2012",Mazhar Tayyara,Male,Male,Syria,Freelance,Syria,"Television, Internet",Camera Operator,"Human Rights, Politics",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
309,Motive Confirmed,"February  9, 2012",2012,"January 28, 2012",Hassan Osman Abdi,Male,Male,Somalia,Shabelle Media Network,Somali,"Radio, Television","Broadcast, Editor, Producer","Business, Corruption, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
310,Motive Confirmed,"February  4, 2012",2012,"January 20, 2012",Enenche Akogwu,Male,Male,Nigeria,Channels TV,Nigeria,Television,"Broadcast, Camera Operator","Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
",
311,Motive Confirmed,"January 28, 2012",2012,"January 17, 2012",Mukarram Khan Aatif,Male,Male,Pakistan,Freelance,Pakistan,"Radio, Television",Broadcast,"Politics, War",Yes,Local,"Military Officials, Political Group",Murder,Yes,No,Yes,"No
",
312,Motive Confirmed,"January 20, 2012",2012,"January 12, 2012","Wisut \""Ae\"" Tangwittayaporn",Male,Male,Thailand,Inside Phuket,Thailand,Print,Publisher,Business,No,Local,Local Residents,Murder,Yes,No,No,"No
",
313,Motive Confirmed,"January 17, 2012",2012,"January 11, 2012",Gilles Jacquier,Male,Male,Syria,France 2,France,Television,Broadcast,"Human Rights, Politics",No,Foreign,Unknown Fire,Dangerous Assignment,,,,"
",
314,Motive Confirmed,"January 12, 2012",2012,"January  5, 2012",Christopher Guarin,Male,Male,Philippines,Radyo Mo Nationwide and Tatak News,Philippines,"Print, Radio","Internet Reporter, Publisher","Business, Politics",No,Local,Local Residents,Murder,Yes,No,Yes,"No
",
315,Motive Confirmed,"January 11, 2012",2012,"December 27, 2011",Basil al-Sayed,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, Politics",Yes,Local,Military Officials,Dangerous Assignment,,,,"
",
316,Motive Confirmed,"January  5, 2012",2012,"December 18, 2011",Abdisalan Sheikh Hassan,Male,Male,Somalia,Freelance,Somalia,"Radio, Television",Broadcast,"Human Rights, Politics",Yes,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,"No
",
317,Motive Confirmed,"December 27, 2011",2011,"December 15, 2011",Gadzhimurad Kamalov,Male,Male,Russia,Chernovik,Russia,Print,"Editor, Publisher","Corruption, Human Rights, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
318,Motive Confirmed,"December 18, 2011",2011,"November 23, 2011",Rafiq Tagi,Male,Male,Azerbaijan,Freelance,Azerbaijan,Internet,Internet Reporter,"Culture, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",
319,Motive Confirmed,"December 15, 2011",2011,,Ferzat Jarban,Male,Male,Syria,Freelance,Syria,Television,Camera Operator,Politics,Yes,Local,Government Officials,Dangerous Assignment,,,,"
",
320,Motive Confirmed,"November 23, 2011",2011,"November  6, 2011",Gelson Domingos da Silva,Male,Male,Brazil,Bandeirantes TV,Brazil,Television,Camera Operator,Crime,No,Local,Unknown Fire,Dangerous Assignment,Yes,No,No,"No
",
322,Motive Confirmed,"November  6, 2011",2011,November 2011,Javed Naseer Rind,Male,Male,Pakistan,Daily Tawar,Pakistan,Print,"Columnist, Editor, Print Reporter","Crime, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,Yes,Yes,"Yes
",
323,Motive Confirmed,"November  6, 2011",2011,"October 22, 2011",Zakariya Isa,Male,Male,Nigeria,Nigeria Television Authority,Nigeria,Television,Camera Operator,,No,Local,Political Group,Murder,Yes,No,No,"No
",
324,Motive Confirmed,November 2011,2011,"October  9, 2011",Wael Mikhael,Male,Male,Egypt,Al-Tareeq,Egypt,Television,Camera Operator,"Culture, Politics",Yes,Local,Military Officials,Dangerous Assignment,,,,"
",
325,Motive Confirmed,"October 22, 2011",2011,"October  7, 2011",Faisal Qureshi,Male,Male,Pakistan,The London Post,Pakistan,Internet,"Editor, Internet Reporter",Politics,No,Local,Political Group,Murder,Yes,No,Yes,"Yes
",
326,Motive Confirmed,"October  9, 2011",2011,"September 24, 2011",Maria Elizabeth Macías Castro,Female,Female,Mexico,Freelance,Mexico,Internet,Internet Reporter,Crime,Yes,Local,Criminal Group,Murder,Yes,No,No,"Yes
",
327,Motive Confirmed,"October  7, 2011",2011,"September 24, 2011",Phamon Phonphanit,Male,Male,Thailand,Sue Samut Atyakam,Thailand,Print,Print Reporter,Crime,No,Local,Political Group,Dangerous Assignment,,,,"
",
328,Motive Confirmed,"September 24, 2011",2011,"September 24, 2011",Hassan al-Wadhaf,Male,Male,Yemen,Arabic Media Agency,Yemen,Television,Camera Operator,Politics,Yes,Local,Paramilitary Group,Dangerous Assignment,,,No,"
",
329,Motive Confirmed,"September 24, 2011",2011,"September 20, 2011",Farhad Taqaddosi,Male,Male,Afghanistan,Press TV,Iran,Television,Camera Operator,"Politics, War",No,Foreign,Political Group,Crossfire/Combat-Related,,,,"
",
330,Motive Confirmed,"September 24, 2011",2011,"September  8, 2011",Hadi al-Mahdi,Male,Male,Iraq,Freelance,Iraq,Radio,Broadcast,"Corruption, Politics",Yes,Local,Unknown Fire,Murder,Yes,,Yes,"
",
331,Motive Confirmed,"September 20, 2011",2011,"September  8, 2011",Pedro Alfonso Flores Silva,Male,Male,Peru,Channel 6,Peru,Television,Columnist,"Corruption, Politics",Yes,Local,Government Officials,Murder,Yes,No,Yes,"No
",
332,Motive Confirmed,"September  8, 2011",2011,"September  2, 2011",Noramfaizul Mohd,Male,Male,Somalia,Bernama TV,Malaysia,Television,Camera Operator,"Human Rights, War",No,Foreign,Military Officials,Dangerous Assignment,,,,"
",
333,Motive Confirmed,"September  8, 2011",2011,"August  2, 2011",José Agustín Silvestre de los Santos,Male,Male,Dominican Republic,"La Voz de la Verdad, Caña TV",Dominican,"Print, Television","Broadcast, Print Reporter, Publisher","Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,Yes,"No
",
334,Motive Confirmed,"September  2, 2011",2011,"July 28, 2011",Ahmad Omaid Khpalwak,Male,Male,Afghanistan,"Pajhwok Afghan News, BBC",Afghanistan,"Print, Television","Broadcast, Photographer",War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
335,Motive Confirmed,"August  2, 2011",2011,"June 21, 2011",Alwan al-Ghorabi,Male,Male,Iraq,Afaq,Iraq,Television,Camera Operator,Politics,No,Local,Political Group,Dangerous Assignment,,,,"
",
336,Motive Confirmed,"July 28, 2011",2011,"June 17, 2011",Shafiullah Khan,Male,Male,Pakistan,The News,Pakistan,Print,Print Reporter,"Crime, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
337,Motive Confirmed,"June 21, 2011",2011,"June 15, 2011",Edinaldo Filgueira,Male,Male,Brazil,Jornal o Serrano,Brazil,Print,"Editor, Publisher",Politics,No,Local,Unknown Fire,Murder,Partial,No,Yes,"No
",
338,Motive Confirmed,"June 17, 2011",2011,"June 13, 2011",Romeo Olea,Male,Male,Philippines,DWEB,Philippines,Radio,"Broadcast, Columnist","Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
339,Motive Confirmed,"June 15, 2011",2011,"June 11, 2011",Asfandyar Khan,Male,Male,Pakistan,Akhbar-e-Khyber,Pakistan,Print,Print Reporter,"Crime, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
340,Motive Confirmed,"June 13, 2011",2011,,Saleem Shahzad,Male,Male,Pakistan,Asia Times Online,Pakistan,Internet,"Columnist, Internet Reporter","Business, Corruption, Politics, War",No,Local,Military Officials,Murder,Yes,Yes,Yes,"Yes
",
341,Motive Confirmed,"June 11, 2011",2011,"May 10, 2011",Nasrullah Khan Afridi,Male,Male,Pakistan,Pakistan Television and Mashriq,Pakistan,"Print, Television","Broadcast, Print Reporter",,Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",
343,Motive Confirmed,"May 10, 2011",2011,"April 25, 2011",Alfredo Antonio Hurtado Núñez,Male,Male,El Salvador,Canal 33,El Salvador,Television,"Camera Operator, Editor",Crime,No,Local,Criminal Group,Murder,Partial,No,,"No
",
344,Motive Confirmed,"May  8, 2011",2011,"April 20, 2011",Chris Hondros,Male,Male,Libya,Getty Images,USA,"Print, Internet",Photographer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
",
345,Motive Confirmed,"April 25, 2011",2011,"April 20, 2011",Tim Hetherington,Male,Male,Libya,Freelance,UK,"Print, Television",Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
",
346,Motive Confirmed,"April 20, 2011",2011,"April 12, 2011",Karim Fakhrawi,Male,Male,Bahrain,Al-Wasat,Bahrain,Print,Publisher,"Human Rights, Politics",Yes,Local,Government Officials,Dangerous Assignment,,,,"
",
347,Motive Confirmed,"April 20, 2011",2011,"April  9, 2011",Zakariya Rashid Hassan al-Ashiri,Male,Male,Bahrain,Freelance,Egypt,Internet,"Editor, Internet Reporter","Business, Culture, Human Rights, Politics",Yes,Local,Government Officials,Dangerous Assignment,,,,"
",
348,Motive Confirmed,"April 12, 2011",2011,"April  9, 2011",Luciano Leitão Pedrosa,Male,Male,Brazil,TV Vitória and Radio Metropolitana FM,Brazil,"Radio, Television",Columnist,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
349,Motive Confirmed,"April  9, 2011",2011,"April  5, 2011",Anton Hammerl,Male,Male,Libya,Freelance,South Africa,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
",
350,Motive Confirmed,"April  9, 2011",2011,"March 29, 2011",Sabah al-Bazi,Male,Male,Iraq,Al-Arabiya,Iraq,Television,Broadcast,Politics,No,Local,Political Group,Dangerous Assignment,,,,"
",
351,Motive Confirmed,"April  5, 2011",2011,"March 29, 2011",Muammar Khadir Abdelwahad,Male,Male,Iraq,Al-Ayn,Iraq,Print,Print Reporter,Politics,No,Local,Political Group,Dangerous Assignment,,,,"
",
352,Motive Confirmed,"March 29, 2011",2011,"March 25, 2011",Luis Emanuel Ruiz Carrillo,Male,Male,Mexico,La Prensa,Mexico,Print,Photographer,Culture,No,Local,Criminal Group,Murder,Yes,Yes,No,"No
",
353,Motive Confirmed,"March 29, 2011",2011,"March 19, 2011",Mohammed al-Nabbous,Male,Male,Libya,Libya Al-Hurra TV,Libya,Internet,"Camera Operator, Internet Reporter, Publisher",War,Yes,Local,Paramilitary Group,Crossfire/Combat-Related,,,,"
",
354,Motive Confirmed,"March 25, 2011",2011,"March 18, 2011",Jamal al-Sharaabi,Male,Male,Yemen,Al-Masdar,Yemen,Print,Photographer,Politics,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
",
355,Motive Confirmed,"March 19, 2011",2011,"March 13, 2011",Ali Hassan al-Jaber,Male,Male,Libya,Al-Jazeera,Qatar,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,,,"
",
